Grantee,Ratio_disbursed_to_obligated,Ratio_expended_to_disbursed,Timeliness,Duration_of_completion,Ratio_obligated_funds_fully_expended,Quarter_by_quarter_variance_expended,Duration_log,Spending_CV,Spending_Gini,N_Quarters,Progress_Rate,Spending_Acceleration,Time_to_50pct,Startup_Lag,Completion_Velocity,Government_Type,Population,Population_scaled,Severity_Index,Severity_Index_scaled,Experience_Index,Experience_Index_scaled
Alabama,0.9168554099555629,0.9827114723719363,0.021489737710209577,50.05043859649123,0.9038787318916276,0.28368826859676727,3.878830962779011,1.5462149862595413,0.7029486508064599,27.333333333333332,0.04035205879184182,0.043278527778941735,0.4535594035594035,0.3333333333333333,0.042963661123062935,state,4746574.055555556,-0.02202416221641557,5.01,-0.7407247647682333,0.24170000000000003,0.8980744385082428
Alaska,0.3018476228895819,0.8619630814432682,0.05453854477043063,25.516447368421055,0.289612505974321,0.3813081271695826,3.0740854114411356,1.411465651158339,0.6128761059454267,8.0,0.022503417256290095,0.048252089549574155,0.9615384615384616,2.0,0.024500865292541363,state,695580.1111111111,-0.6202397471616948,6.63,1.3465571602336244,0.1383,0.08366607567567022
American Samoa,0.00768058596293242,0.5,0.18180309367323905,18.016447368421055,0.00768058596293242,0.1639888938840304,2.2980580819282697,0.8957984870931425,0.37447845620266873,4.5,0.0009600732453665525,0.08687861520155651,1.0,1.0,0.0010972265661332028,state,55859.11111111111,-0.7147081856400105,5.8149999999999995,0.2964739695691091,0.09775,-0.2357174747388444
Arkansas,0.973665928618076,0.9237539668794897,0.006794510750525233,147.17763157894737,0.8994277639763498,0.14532354446543572,4.991640235365628,4.286225487116705,0.9283026482213164,49.0,0.018355668652578566,0.016026319421331835,0.6326530612244898,10.0,0.01873807841617395,state,2877959.4444444445,-0.29796493081621395,6.58,1.2821348785977646,0.0,-1.0056248003373354
California,0.3362674228067033,0.8886126143119794,0.0447517873712451,49.04714912280702,0.32380153704632,0.31990085603726776,3.6147721231430374,1.3293712380646234,0.5870373447050279,16.333333333333332,0.014357623045840727,0.12658672250366776,0.9170506912442397,0.5,0.014987134455134018,state,36883043.166666664,4.72361034897407,5.7475000000000005,0.20950388936069964,0.3433333333333333,1.6985680227366478
"Chicago, IL",0.9236137317358087,0.9940461225203203,0.009511294662411613,105.13815789473685,0.9181146487385041,0.28183033996469564,4.655275274738832,1.6293613563023908,0.7207763268354669,27.0,0.034004246249574224,-0.09227413869659977,0.2962962962962963,1.0,0.03531210187455785,local,2748600.3333333335,-0.31706756029001515,5.01,-0.7407247647682333,0.0,-1.0056248003373354
City of Birmingham,0.7190266787346313,1.0028988551301798,0.007967241034352757,126.15789473684211,0.7215333496041971,0.2684182868766544,4.834975635108636,1.8363756687682335,0.6990439095992429,24.5,0.029583371199547903,-0.03915033755968071,0.5824561403508772,0.5,0.030882580808843145,local,217115.88888888888,-0.6908951859249606,5.01,-0.7407247647682333,0.1301,0.019080499512932274
Colorado,0.6544084547684912,0.4997638061487117,0.03351752553096862,52.55592105263158,0.4988161559063337,0.1139057580077999,3.6787822961948224,0.49287269144833334,0.25450707731731154,22.0,0.012790157843752146,-0.02034251766572625,0.6794871794871795,2.5,0.013118631511956943,state,4991519.0,0.014147178750700392,5.01,-0.7407247647682333,0.20845,0.6361878034581165
"Columbia, SC",0.5268129826688455,0.4977423910135038,0.014995893598821974,73.57565789473685,0.3307325334319474,0.309960001371411,4.249146555670821,1.5590943158370099,0.6692886445997351,19.5,0.012610157770573283,-0.23864538052454604,0.7857142857142857,0.0,0.012253667968093141,local,127611.11111111111,-0.7041124737629639,5.13,-0.5861112888421697,0.1403,0.09941865522755752
Connecticut - DOH,0.9935370067036899,1.0000007581642036,0.011160501536498238,91.60197368421053,0.9935377648678936,0.2633026892488672,4.506413600355572,0.8504416437573686,0.4509867289162063,34.0,0.030981679502923527,-0.025303652825251675,0.4358974358974359,0.0,0.03171729642376035,state,3541953.277777778,-0.1999120912279701,5.005,-0.7471669929318192,0.15295,0.19905372089324452
"Cook County, IL",0.8840413738433436,0.9780034573013856,0.008323750068451891,120.13815789473685,0.8645955200162567,0.19678089911499333,4.788642396315757,2.911769965512343,0.7258114608686835,37.0,0.023367446486925857,-0.01673472504446352,0.35135135135135137,0.0,0.023970419675540124,local,5248611.777777778,0.05211240618690974,5.01,-0.7407247647682333,0.0,-1.0056248003373354
County Of Orange,0.9482430231181049,0.999167009130046,0.006659072986944712,150.17105263157896,0.9474531453373499,0.18534507373458253,5.011774995267269,5.078208605611622,0.9589437988058523,28.0,0.033837612333476784,0.17864295953987333,0.9642857142857143,1.0,0.035090857234716666,local,3003259.722222222,-0.27946167458018945,,,0.0,-1.0056248003373354
"Dauphin County, PA",0.9919056387533779,0.9779271101319729,0.013872229918174443,73.5921052631579,0.970190080226478,0.21882802362951348,4.288202019676849,4.1435911603361575,0.9236529526901374,23.0,0.04850075411228006,0.1201671614817898,0.8698924731182796,0.0,0.041568929265159406,local,267527.5,-0.6834508372435154,5.01,-0.7407247647682333,0.1301,0.019080499512932274
Empire State Development Corporation (NYS),0.9968127814592683,0.9099188106232702,0.0036189614532987305,276.32236842105266,0.9070187005194912,0.19852107225617527,5.621568185659596,1.5103441785463885,0.6865521584994546,92.0,0.009858898918690122,-0.040987731011629974,0.17391304347826086,0.0,0.009322340836933242,local,19426038.722222224,2.1457116237865566,3.96,-2.093592679121289,0.0,-1.0056248003373354
Florida,0.4286090274769652,0.9347066684718423,0.02672712276235459,54.05263157894737,0.41373690385030876,0.3042540709909598,3.8311793214199086,1.0086442718525168,0.510188056639026,18.0,0.019744310528386096,-0.006986291385670922,0.8944444444444445,0.3333333333333333,0.020385839842833813,state,18631026.833333332,2.0283111762242134,6.2775,0.8923800747008127,0.29350000000000004,1.3060662489021235
Georgia,0.5120505743773178,0.9334961026219105,0.01870661302661513,55.03947368421053,0.48224602251447957,0.2934397049723913,3.9928803855857375,1.0165226062614976,0.5164743519792271,18.333333333333332,0.026711313033652775,0.07865637082708656,0.8523550724637681,0.0,0.028230869153634607,state,9524762.166666666,0.6835771383698069,5.996666666666667,0.5305415928460675,0.2036,0.5979877980447899
"Hawaii County, HI",0.4839133108833357,0.4889665126109628,0.06695078008390651,26.98026315789474,0.4062500072774982,0.15308646341840035,2.999451579859956,0.6607463508964868,0.3188006490651997,9.0,0.02708333381849988,0.01119628010014176,0.7666666666666666,2.5,0.029017857662678444,local,179581.33333333334,-0.6964379629360498,5.8149999999999995,0.2964739695691091,0.1226,-0.03999167380664497
"Houston, TX",0.5570408758773331,0.962666183758458,0.01892321460276512,67.57236842105263,0.5370534652222716,0.24640320191650764,4.090282486550713,1.4273921416649356,0.5958968776111003,22.5,0.024560639630127584,0.0909027654318556,0.9090909090909092,0.0,0.02545291502184548,local,2101234.722222222,-0.4126648885100161,5.13,-0.5861112888421697,0.1487,0.16557948934548403
Illinois,0.9975207596620655,0.5854116717940387,0.01395431963975252,96.1140350877193,0.5832675370582286,0.17346772708497782,4.434468718054321,1.0263492130856162,0.4768825274304877,30.666666666666668,0.014986059858916767,-0.028767019543671207,0.5963341858482524,5.333333333333333,0.015390525307937775,state,12736202.666666666,1.15781476586839,6.166666666666667,0.7495773504079907,0.12586666666666665,-0.014262460538562513
Indiana - OCRA,0.9520997388974465,1.0503101294387742,0.008760301999884732,114.15131578947368,1.0000000000000002,0.26093253182685455,4.737524899755395,1.5300064903648214,0.6751891488382166,61.0,0.016393442622950824,-0.04941637354130744,0.19672131147540983,2.0,0.01666666666666667,state,6444463.666666667,0.22870542188387372,6.58,1.2821348785977646,0.0,-1.0056248003373354
Iowa,0.43212960347234497,0.9664693717696906,0.028279538640880744,39.05263157894737,0.4197014613218315,0.30977319525060804,3.6152635080297326,1.1071035626247592,0.5511230409877819,13.0,0.028863738538862635,0.1507258798535976,0.8529411764705883,0.0,0.031119162105402807,state,3043683.777777778,-0.2734922013171669,6.9,1.6944374810672678,0.14915,0.1691238197446587
"Jefferson County, AL",0.961330774817227,0.9903782296310202,0.007933013148166896,126.125,0.9518316371791895,0.18675790990654167,4.836997912967909,1.6797974620257015,0.6822635740076313,40.5,0.02350282026522057,0.0038409704178698906,0.5527439024390244,1.0,0.024073755541605922,local,661970.9444444445,-0.6252028568510085,5.01,-0.7407247647682333,0.1313,0.028532047244064693
"Jefferson Parish, LA",0.8209385650033427,0.24673902484706006,0.007742855687433141,129.1513157894737,0.20255758098826962,0.22861095082214175,4.860984707561757,2.3472547424061867,0.8403579430993887,29.0,0.006984744172009298,-0.0591606610336321,1.0,1.0,0.00723419932100963,local,439015.5,-0.6581269795340305,5.01,-0.7407247647682333,0.0,-1.0056248003373354
"Joplin, MO",0.8558861115491105,1.0866633542512782,0.006530331672108609,153.13157894736844,0.93006007283304,0.28657649210534186,5.031297544930284,1.1096592389567497,0.5856542540675463,50.0,0.0186012014566608,-0.03310414358264416,0.38,0.0,0.01897917252377135,local,49386.22222222222,-0.7156640456254995,,,0.0,-1.0056248003373354
"Kauai County, HI",0.23836483217088053,0.958061538589554,0.01958510501224069,51.059210526315795,0.2283681778552746,0.2200221207856209,3.9329859500078626,1.0588077075500535,0.4416347032196242,17.0,0.013433422226780858,-0.015533967907073266,1.0,3.0,0.014273011115954663,local,66208.16666666667,-0.7131799270428115,6.63,1.3465571602336244,0.0,-1.0056248003373354
Kentucky,0.09810102765129905,0.8040770190020246,0.1167435277631135,10.5,0.08296821316430977,0.45,2.249575538925897,1.8251407699364424,0.65,3.5,0.03455744982737079,0.25,1.0,1.5,0.005772213962320087,state,4300978.944444444,-0.08782577626416181,,,0.0,-1.0056248003373354
"Lee County, FL",0.08039590952487902,0.8356504127142876,0.05555555555555555,18.0,0.06718287497500568,0.35250927913229857,2.8903717578961645,0.6220748623082522,0.29403727512780725,5.0,0.013436574995001135,-0.14123766197531662,1.0,0.0,0.013348543873211419,local,602906.2222222222,-0.6339250217908633,,,0.0,-1.0056248003373354
"Lexington County, SC",0.6282407970402165,0.9768398782691523,0.014995893598821974,73.57565789473685,0.617936231118344,0.2743176037088145,4.249146555670821,1.7501586721720392,0.7426302483030048,24.5,0.025090158205907157,-0.04188248723462069,0.640625,2.0,0.026272398856643446,local,257351.66666666666,-0.6849535158881364,5.13,-0.5861112888421697,0.13885,0.0879980350524392
Louisiana,0.7691324424801727,0.9852344370160109,0.014335567895931961,86.22838345864662,0.7677974662163197,0.260887354573169,4.367939522365366,1.1182285005352484,0.52874650536333,39.42857142857143,0.021923971087678986,0.010766243013231298,0.5170181405895692,0.5714285714285714,0.022900936442828732,state,4539792.611111111,-0.05255984912204674,6.170000000000001,0.7538721691837154,0.4976142857142857,2.9137295105975904
"Luzerne County, PA",0.9927104003315119,0.999973961508183,0.0207005805720759,61.55263157894737,0.9926847414600575,0.3382642503832411,3.998743069500864,1.245032012528436,0.6274222779755259,32.0,0.04556798054348687,0.000495149472334146,0.4757142857142857,0.0,0.04809697787702606,local,321326.6666666667,-0.6755062437935041,5.01,-0.7407247647682333,0.1366,0.07027638305656599
Maryland,0.9663700548184356,1.0000000000000004,0.008998875140607425,111.125,0.9663700548184361,0.2658918919794328,4.7106556938340685,1.7483507431974818,0.7394615184288076,36.0,0.026843612633845448,-0.030617104343141348,0.4444444444444444,0.0,0.02700489164006386,state,5734816.0,0.12391082089409812,5.01,-0.7407247647682333,0.0,-1.0056248003373354
Michigan,0.02332289798161721,0.0,0.06663743971942131,15.006578947368421,0.0,0.0,2.7084887014381116,0.0,0.0,5.0,0.0,0.0,1.0,5.0,0.0,state,9928100.5,0.7431386386620381,,,0.0,-1.0056248003373354
"Minot, ND",0.9949039263939351,1.0051277530833622,0.014579599740639918,77.11184210526316,1.0000000000000002,0.23522810341922296,4.2908356938213945,1.3900249671876344,0.6351065544384173,37.0,0.028156565656565668,-0.052990824767930655,0.35025252525252526,0.0,0.028565557558957105,local,41175.944444444445,-0.7168764681052052,5.005,-0.7471669929318192,0.21463333333333334,0.6848895285727015
Mississippi,0.519033443720492,0.9222178572938444,0.022359400279262587,78.08223684210527,0.5161406484996905,0.27881018070086966,4.079135520985883,1.3107184197032853,0.5537435679559972,41.5,0.008840683130924329,-0.008961202787161792,0.58,0.0,0.00919267453576342,state,2939040.888888889,-0.2889449538627192,8.31,3.511145823198514,0.29565,1.3230002719204021
Missouri,0.39036062625571777,0.9335448942429866,0.024776960190811326,46.03728070175439,0.37317410727126993,0.2530470669420796,3.764967070999828,1.2397506852934752,0.532950414571734,15.333333333333334,0.022319564263126188,0.07866915585000182,0.9626262626262626,0.3333333333333333,0.02373964566563425,state,5929098.888888889,0.15260082972042932,6.086666666666667,0.6465016997906149,0.20383333333333334,0.5998255989925101
"Moore, OK",0.9789343199233719,1.0,0.011888002502737367,84.11842105263159,0.9789343199233719,0.21997038549325176,4.432225580480396,1.29104282705317,0.6222235441338814,37.0,0.026457684322253296,-0.06110634300224318,0.2972972972972973,0.0,0.02699499938271606,local,53267.88888888889,-0.7150908348215812,5.01,-0.7407247647682333,0.0,-1.0056248003373354
"Nashville-Davidson, TN",0.5133471258850615,0.9836124235473056,0.04663032508294354,57.06250000000001,0.5129806613132347,0.33068602195854274,3.5548256775003404,1.601894675663908,0.6557853258877082,26.0,0.013661831994975292,-0.20624878467605004,0.6354166666666666,0.5,0.014068231829422455,local,624522.0,-0.6307329915571193,,,0.217,0.7035300810424346
Nebraska,0.3305256550702089,0.8124833004482909,0.023783445470192455,42.04605263157895,0.2685465751142767,0.33626210812932966,3.7387655088040055,1.2052249486764555,0.6169152125741909,14.0,0.019181898222448337,0.15374919793287295,1.0,3.0,0.020657428854944364,state,1823295.2777777778,-0.4537085705342066,6.9,1.6944374810672678,0.0,-1.0056248003373354
New Jersey,0.6289277397587868,0.9854767798566014,0.021659269193759833,87.07894736842105,0.6301153263408509,0.2912733905826536,4.193459939575717,0.8569556080973694,0.4557615542638549,28.666666666666668,0.019722178184936632,0.009708960916926355,0.6348566308243727,0.3333333333333333,0.020710511510315634,state,8790845.333333334,0.5751986777315754,5.005,-0.7471669929318192,0.28613333333333335,1.2480442475526718
"New Orleans, LA",0.5898956472152463,1.2468326015397215,0.011860664148062526,85.59868421052633,0.7872707761833827,0.22640490443324907,4.442098899822088,1.5510478757685522,0.5874672495586528,34.5,0.021729378103272648,-0.006097547897758526,0.7432432432432432,0.5,0.01895152606656323,local,381822.55555555556,-0.6665727365963181,5.005,-0.7471669929318192,0.1362,0.06712586714618843
New York,0.994698434132455,0.8887874835418341,0.035790725966709624,82.57236842105263,0.8833857506520848,0.312800830531088,4.012308376083338,1.2047232783351656,0.566289581366992,27.5,0.06697537905940047,-0.3753384846884164,0.44829674914155515,1.25,0.022994366503565424,state,19426038.722222224,2.1457116237865566,5.005,-0.7471669929318192,0.3051,1.3974312103030693
"New York City, NY",0.46840363981967953,0.6046274585754058,0.02831539666997571,80.08333333333333,0.34499989443979545,0.32383901998012293,4.042015521883738,1.6011520219952455,0.6816728646335629,21.0,0.010286515247806383,0.01249936307017526,0.7851851851851852,0.6666666666666666,0.010635551823666947,local,8165001.444444444,0.4827794904381618,5.005,-0.7471669929318192,0.286,1.2469940755825457
North Carolina-NCORR,0.5619671094425818,0.6928968773348504,0.023308039290241465,50.29440789473685,0.5205160525950123,0.32320388265684086,3.84762228528263,1.4178540269422575,0.5888395038417569,17.5,0.025164511571095113,0.10108409991432887,0.8115468409586056,1.0,0.026407358019771923,local,9355873.833333334,0.6586371768440713,6.25,0.85694781980109,0.1969,0.5452166565459674
Northern Mariana Islands,0.15375093766589798,0.9600372589858606,0.02645556500337972,40.53289473684211,0.1464183021888676,0.3470718383293605,3.6672013029366433,1.1824369165374022,0.5832352616071032,12.5,0.009957786982670858,0.06440180137630858,1.0,0.0,0.009720094551797495,state,56199.11111111111,-0.7146579773944117,5.8149999999999995,0.2964739695691091,0.1368,0.07185164101175476
Ohio,0.1051993100365705,1.0,0.04157549234135667,24.05263157894737,0.1051993100365705,0.3934836681637248,3.1802444117277644,1.0463488126180074,0.5216923279835783,7.0,0.015028472862367215,0.03197265860571031,1.0,0.0,0.011366700663686849,state,11539580.444444444,0.9811079940385059,6.9,1.6944374810672678,0.0,-1.0056248003373354
Oklahoma,0.5831940991263396,0.9887697778578706,0.020365363180666278,49.51315789473685,0.5813067914588155,0.2931596036623565,3.8980790773886174,1.5516040190328222,0.7107791626898081,29.0,0.01708339828446311,0.0629288737353801,0.6162790697674418,0.0,0.01771684760451862,state,3719196.4444444445,-0.17373836051418737,5.955,0.47685635814951727,0.19075,0.4967774744239141
Oregon,0.11358069475524883,0.8220853506982281,0.047633970542149795,20.99342105263158,0.09337302528041713,0.34957756381420463,3.044209105431967,0.9835974263181173,0.4963502867754983,7.0,0.013339003611488163,0.18285362961062784,1.0,0.0,0.014848778274363546,state,3807732.111111111,-0.1606641825840637,,,0.0,-1.0056248003373354
Pennsylvania,0.7017803829982872,0.9999160376043147,0.04257534950318392,87.08991228070175,0.7017057562193599,0.29245257039213896,3.944535072785546,1.4984154407108923,0.6406824313631908,28.666666666666668,0.0403875715212148,0.008494679856401727,0.6992063492063493,0.6666666666666666,0.05317076900699974,state,12658804.722222222,1.146385309975746,5.01,-0.7407247647682333,0.24083333333333332,0.8912483207024247
Puerto Rico,0.31631878558969956,0.9024701575193935,0.02046433739541913,72.07236842105263,0.30675005504458863,0.27848101779131723,4.054514941684636,1.4231471391528214,0.6225522480542265,23.2,0.00935408460844686,0.14174819417228673,0.8703703703703705,0.0,0.00967521542618301,state,3670874.5,-0.18087412538028147,5.98,0.5090674989674476,0.40428,2.1786016302811593
Rhode Island,1.0,1.0,0.01447481192267403,69.08552631578948,1.0,0.24361408716358507,4.235345248859717,1.1850775513157976,0.6030018246554268,34.0,0.029411764705882353,-0.02241890544436304,0.47058823529411764,0.0,0.030230282178084395,state,1059091.6666666667,-0.5665595193402589,5.01,-0.7407247647682333,0.0,-1.0056248003373354
"Richland County, SC",0.48944950357960276,0.49444423632896367,0.021689236653512106,64.57894736842105,0.4484199492811943,0.3413110355235935,3.999413806891414,1.709403618822678,0.6926190088454478,13.5,0.019590976970449803,-0.6042248934641523,0.7826086956521738,0.0,0.020229963180039685,local,375529.3888888889,-0.6675020567657104,5.13,-0.5861112888421697,0.1406,0.10178154216034056
"San Marcos, TX",0.8360726253133945,0.9577283316166129,0.015603969447061876,72.09539473684211,0.805680794437288,0.3100079694736285,4.21911005716738,1.1128217491039991,0.5619632281426992,24.0,0.03546134900973631,0.09117450055813411,0.78125,0.0,0.03712552993686554,local,46412.5,-0.7161031790833686,5.13,-0.5861112888421697,0.1425,0.11674649273463336
"Shelby County, TN",0.7477929469454517,0.9998381625640838,0.010406682185403257,96.0921052631579,0.7476719260523219,0.2226247418679264,4.565307161333779,1.1741316661899732,0.5650854895893529,32.0,0.02336474768913506,0.06410272063020463,0.84375,0.0,0.024097568160663604,local,921289.1111111111,-0.5869090033210173,5.0,-0.753609221095405,0.0,-1.0056248003373354
South Carolina,0.6249685316624117,0.9741995356558577,0.0202020854468134,49.54605263157895,0.6001996826971214,0.2927906589154643,3.902436016608836,1.09050440170419,0.544685796155048,15.5,0.03815981515301608,0.012487306746909805,0.78125,0.0,0.040581897089229546,state,4571240.388888889,-0.04791591456263763,5.8149999999999995,0.2964739695691091,0.1523,0.19393413253888106
"Springfield, MA",0.9766020093911049,1.002980718871428,0.010430354192398026,99.15131578947368,0.979397889808143,0.2051136223277756,4.579841088558382,1.4462136791217608,0.5882654225562166,35.0,0.028387975915114085,-0.03795221110889957,0.4437551695616212,0.0,0.027449218302931813,local,153320.83333333334,-0.7003158853876494,5.005,-0.7471669929318192,0.13905,0.08957329300762797
St. Tammany Parish,0.6876641322755026,0.9387623264337376,0.007742855687433141,129.1513157894737,0.6455531806199883,0.17017810637074654,4.860984707561757,4.285799347001012,0.9368921559296545,34.0,0.018986858253529068,0.11723399241949069,0.9411764705882353,11.0,0.019562217594545097,local,229440.11111111112,-0.6890752518774725,5.01,-0.7407247647682333,0.0,-1.0056248003373354
Tennessee,0.6653479975635754,0.6670442620341964,0.11964911825855874,53.05482456140351,0.6657315827942369,0.13764424241836332,3.27137914128256,1.2464064182095245,0.4477826862084269,19.666666666666668,0.02298920763366145,-0.01946334137864172,0.5833333333333334,2.0,0.02381251957788171,state,6294267.055555556,0.20652569147577163,5.005,-0.7471669929318192,0.22603333333333334,0.7746792320184589
Texas - GLO,0.7383238184942637,0.979449439412133,0.014048681708568437,87.08717105263159,0.7301976346001748,0.271979325359612,4.363995818585052,0.9685756542687431,0.488981091646948,30.75,0.026271565634034863,0.023499837514880287,0.6550615906084656,0.125,0.027315434851202438,state,24858053.666666668,2.947864389746312,6.264285714285714,0.8753541859827642,0.497075,2.9094819400398495
"Town of Union, NY",0.9793930990525446,0.9690501309311613,0.006933990237671639,144.2171052631579,0.9490810108699441,0.20234040761457905,4.971319839613051,1.3358449028299644,0.617657924610718,41.0,0.02314831733829132,-0.040499807167313016,0.4146341463414634,0.0,0.023097273576020354,local,56327.333333333336,-0.7146390426508102,,,0.0,-1.0056248003373354
"Tuscaloosa, AL",0.8485898775212587,1.1145617353839747,0.010054578430623514,111.14144736842105,0.9301760954572496,0.2398045655799234,4.655265436838012,1.320238397261902,0.6327071911787459,42.5,0.02216616501808309,-0.05063914371913869,0.34364548494983277,0.0,0.022600427981750812,local,89198.44444444444,-0.7097849225926695,5.01,-0.7407247647682333,0.1384,0.0844537046532645
Virgin Islands,0.25118625962549074,0.3514420185930296,0.14355921013192605,29.019736842105264,0.1690889723534231,0.22188968227356687,2.619878285695378,1.0368694022692924,0.4190736988110844,9.666666666666666,0.0070849429454751455,0.1347188600322266,0.9722222222222222,1.6666666666666667,0.007406747107423057,state,103685.61111111111,-0.7076455837043492,5.68,0.1225338091522879,0.21819999999999998,0.7129816287735669
Virginia,0.9863760733809488,1.0131613597692626,0.013880010957903388,72.04605263157895,0.999358123750508,0.32183159811681933,4.277305534429483,0.916025530198806,0.49835527767142734,31.0,0.03223735883066155,-0.013356451376416507,0.4838709677419355,0.0,0.0332462360257378,state,7901083.5,0.44380638169532943,5.0,-0.753609221095405,0.0,-1.0056248003373354
Washington,0.04511833324925591,0.0,0.036973972269520795,27.04605263157895,0.0,0.0,3.2975410660516022,0.0,0.0,9.0,0.0,0.0,1.0,9.0,0.0,state,6703459.277777778,0.2669516432122399,,,0.0,-1.0056248003373354
West Virginia,0.48443404356162967,0.9665362521649126,0.015958598361253802,69.06907894736842,0.4804554638211553,0.28920404240163267,4.186432330372528,0.9071497912643461,0.48221810700075574,23.0,0.016877081217528397,0.0468662642741105,0.7666666666666666,0.5,0.01736620917459104,state,1833192.111111111,-0.4522470921852387,6.0600000000000005,0.6121431495848234,0.0,-1.0056248003373354
Wisconsin,0.9734860009061228,0.9977316790078259,0.022170361726954493,45.10526315789474,0.9712778221746798,0.24162078531417636,3.8089989394313393,1.105834233210905,0.5336064028998198,17.0,0.05713398953968705,0.04481792995612615,0.7058823529411765,0.0,0.06057450338114102,state,5649594.444444444,0.11132604209517423,6.63,1.3465571602336244,0.0,-1.0056248003373354
